spacy_entities
"Ada witch -, PERSON
3-mile, QUANTITY
the Ada Cemetery, FAC
2 Mile, QUANTITY
Egypt Valley, LOC
Honey Creek, GPE
late one night, TIME
late at night, TIME
the night, TIME
the 20th century, DATE
Honeycreek Road, FAC
Seidman Park, GPE
Findlay Cemetery, FAC
""Ghosts of Grand Rapids, WORK_OF_ART

"
"month later, DATE
this day, DATE

"
"Gorman Rd, PERSON
Sand Creek, FAC
A mile, QUANTITY
one, CARDINAL
one, CARDINAL
Late one night, TIME
one, CARDINAL
late at night, TIME

"
"1970, DATE
one, CARDINAL
211, CARDINAL
today, DATE
one, CARDINAL
two, CARDINAL
first, ORDINAL
us, GPE
the next morning, TIME
One night, TIME

"
"Kappa Delta Sorority - The Kappa Delta Sorority, ORG
one, CARDINAL

"
"
"
"the Rogue River, LOC
Friske, ORG
Hell's Bridge, ORG
midnight, TIME
1800, DATE
Algoma, PERSON
Rockford, GPE
Laphamville, PERSON
Elias Friske, PERSON
early morning, TIME

"
"Morrow Road, WORK_OF_ART
Michigan, GPE
Harsens Island, LOC
1800, DATE
today, DATE
night, TIME
1800, DATE
Unsolved Mysteries, ORG
midnight, TIME
three, CARDINAL

"
"
"
"Halloween, DATE

"
"Al Capone, PERSON
the next day, DATE
March, DATE

"
"Gamma Phi, PERSON
one night, TIME
the night, TIME

"
"
"
"the late 70s, DATE
Mary, PERSON
one day, DATE
first, ORDINAL
Mary, PERSON
about seventeen feet, QUANTITY

"
"Jackson Ave, GPE
Ann Arbor, GPE
I-94, GPE

"
"a Tribal Center, FAC
a Catholic Orphanage, NORP
early 1800's, DATE

"
"Camp 8, FAC
three, CARDINAL
three, CARDINAL

"
"Michigan State University, ORG
the Upjohn Family, ORG
Upjohn Pharmaceauticals, ORG
Pharmacia, PERSON
Pfizer, PERSON
summer, DATE
Upjohn, PERSON
japanese, NORP
the night, TIME

"
"East, LOC
1-4, CARDINAL
8, CARDINAL
only one, CARDINAL
about 100 years old, DATE

"
"
"
"
"
"creepy, NORP

"
"the Bloody Hand, LOC
years, DATE

"
"The Richardi House, ORG
The Grand Victorian Bed & Breakfast, ORG
Henri Richardi, PERSON
Bed & Breakfast, ORG

"
"Rouge Power House, ORG
2001, DATE
that day, DATE
Miller, PERSON
late at night, TIME

"
"Walter Reuther, PERSON
Harry Bennett's, PERSON
late at night, TIME

"
"One, CARDINAL
one, CARDINAL
seventh, ORDINAL

"
"
"
"Denton Rd, PERSON
midnight, TIME
Denton Rd, GPE
about 1-10, CARDINAL

"
